"study_id","first_author","pubyear","papers","effect_sizes","experiments","toedieningsroute","drug","drug_class","dose_unit","dose","unit","hed","hed2","frequency","timing","multiplication_factor_es","anxiety_test","type_of_outcome","type_of_anxiety_test","species","strain","disease","mean_treatment_group","se_treatment_group","n_treatment_group","sd_treatment_group","mean_control_group","se_control_group","n_control_group","sd_control_group","sex","id_sample","Sample","dose2"
"Shoval_2016_38_10","Shoval",2016,8,38,10,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",4.86,23.6196,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",4.77,NA,14.5,0.56,5.69,NA,14.5,0.63,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_39_10","Shoval",2016,8,39,10,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","45 mg/kg",45,"mg/kg",7.29,53.1441,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",5.23,NA,14.5,0.71,5.69,NA,14.5,0.63,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_40_11","Shoval",2016,8,40,11,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",2.43,5.9049,"SD","acute",-1,"AA",NA,"Unconditioned","rats","WKY","No",3.36,NA,12.5,0.46,2.7,NA,12.5,0.34,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_41_11","Shoval",2016,8,41,11,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",4.86,23.6196,"SD","acute",-1,"AA",NA,"Unconditioned","rats","WKY","No",2.27,NA,12.5,0.36,2.7,NA,12.5,0.34,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_42_11","Shoval",2016,8,42,11,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","45 mg/kg",45,"mg/kg",7.29,53.1441,"SD","acute",-1,"AA",NA,"Unconditioned","rats","WKY","No",2.08,NA,12.5,0.34,2.7,NA,12.5,0.34,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_43_10","Shoval",2016,8,43,10,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",2.43,5.9049,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",2.7,NA,14.5,0.7,3.3571,NA,14.5,0.5,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_44_10","Shoval",2016,8,44,10,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",4.86,23.6196,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",3.9,NA,14.5,1.1,3.3571,NA,14.5,0.5,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_45_10","Shoval",2016,8,45,10,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","45 mg/kg",45,"mg/kg",7.29,53.1441,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",2.9091,NA,14.5,0.69,3.3571,NA,14.5,0.5,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_46_11","Shoval",2016,8,46,11,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",2.43,5.9049,"SD","acute",-1,"AA",NA,"Unconditioned","rats","WKY","No",3.6667,NA,12.5,0.78,1.4,NA,12.5,0.65,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_47_11","Shoval",2016,8,47,11,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",4.86,23.6196,"SD","acute",-1,"AA",NA,"Unconditioned","rats","WKY","No",3.2222,NA,12.5,0.68,1.4,NA,12.5,0.65,"Male","8","CBDanimalunconditioned",NA
"Shoval_2016_48_11","Shoval",2016,8,48,11,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","45 mg/kg",45,"mg/kg",7.29,53.1441,"SD","acute",-1,"AA",NA,"Unconditioned","rats","WKY","No",5.6667,NA,12.5,1.41,1.4,NA,12.5,0.65,"Male","8","CBDanimalunconditioned",NA
"Almeida_2013_49_12","Almeida",2013,9,49,12,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",2.43,5.9049,"SD","acute",-1,"SIT",NA,"Unconditioned","rats","Wistar","No",18.6,4.7,10,14.8627050027914,24.8,10,10,31.6227766016838,"Male","9","CBDanimalunconditioned",NA
"Almeida_2013_50_12","Almeida",2013,9,50,12,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",4.86,23.6196,"SD","acute",-1,"SIT",NA,"Unconditioned","rats","Wistar","No",13,2.8,10,8.85437744847146,24.8,10,10,31.6227766016838,"Male","9","CBDanimalunconditioned",NA
"Almeida_2013_51_12","Almeida",2013,9,51,12,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","60 mg/kg",60,"mg/kg",9.72,94.4784,"SD","acute",-1,"SIT",NA,"Unconditioned","rats","Wistar","No",7.4,1.3,10,4.11096095821889,24.8,10,10,31.6227766016838,"Male","9","CBDanimalunconditioned",NA
"Almeida_2013_52_13","Almeida",2013,9,52,13,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","1 mg/kg",1,"mg/kg",0.162,0.026244,"SD","acute",-1,"SIT",NA,"Unconditioned","rats","Wistar","No",22.2,10.5,11,34.8245602987317,26.2,9.4,11,31.1762730293408,"Male","9","CBDanimalunconditioned",NA
"Almeida_2013_53_13","Almeida",2013,9,53,13,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"SIT",NA,"Unconditioned","rats","Wistar","No",21.2,6.9,11,22.8847110534523,26.2,9.4,11,31.1762730293408,"Male","9","CBDanimalunconditioned",NA
"Almeida_2013_54_13","Almeida",2013,9,54,13,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",2.43,5.9049,"SD","acute",-1,"SIT",NA,"Unconditioned","rats","Wistar","No",21,5.6,11,18.5730988259902,26.2,9.4,11,31.1762730293408,"Male","9","CBDanimalunconditioned",NA
"Aso_2019_55_14","Aso",2019,10,55,14,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",290.6,63.2,7,167.211482859282,393.9,63.2,7,167.211482859282,"Male","10","CBDanimalunconditioned",NA
"Assareh_2020_56_15","Assareh",2020,11,56,15,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","1 mg/kg",1,"mg/kg",0.081,0.006561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",24.87,NA,14,13.11,25.81,NA,13,18.16,"Male","11","CBDanimalunconditioned",NA
"Assareh_2020_57_15","Assareh",2020,11,57,15,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",29.14,NA,17,14.66,25.81,NA,13,18.16,"Male","11","CBDanimalunconditioned",NA
"Assareh_2020_58_15","Assareh",2020,11,58,15,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",27.73,NA,11,7690,25.81,NA,13,18.16,"Male","11","CBDanimalunconditioned",NA
"Assareh_2020_59_15","Assareh",2020,11,59,15,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","100 mg/kg",100,"mg/kg",8.1,65.61,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J","No",25.62,NA,13,13.75,25.81,NA,13,18.16,"Male","11","CBDanimalunconditioned",NA
"Bis-Humbert_2020_60_16","Bis-Humbert",2020,12,60,16,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"MD","delay",-1,"AA",NA,"Unconditioned","rats","Sprague-Dawley","No",93.8538205980067,22.4252491694343,7,59.3316323909809,102.159468438538,25.747508305648,7,68.1215038563146,"Male","12","CBDanimalunconditioned",NA
"Bis-Humbert_2020_61_16","Bis-Humbert",2020,12,61,16,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",4.86,23.6196,"MD","delay",-1,"AA",NA,"Unconditioned","rats","Sprague-Dawley","No",148.671096345514,45.681063122924,7,120.8607326483,102.159468438538,25.747508305648,7,68.1215038563146,"Male","12","CBDanimalunconditioned",NA
"Breuer_2016_62_17","Breuer",2016,13,62,17,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","15 mg/kg",15,"mg/kg",1.215,1.476225,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",12.8,NA,10,4.84,14,NA,11,3.4,"Male","13","CBDanimalunconditioned",NA
"Breuer_2016_63_17","Breuer",2016,13,63,17,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",9,NA,11,5.15,14,NA,11,3.4,"Male","13","CBDanimalunconditioned",NA
"Breuer_2016_64_17","Breuer",2016,13,64,17,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","60 mg/kg",60,"mg/kg",4.86,23.6196,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",9,NA,11,4.06,14,NA,11,3.4,"Male","13","CBDanimalunconditioned",NA
"Breuer_2016_65_18","Breuer",2016,13,65,18,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",6.1,NA,9,3.29,13.8,NA,10,4.63,"Male","13","CBDanimalunconditioned",NA
"Breuer_2016_66_19","Breuer",2016,13,66,19,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",1,"RCLB",NA,"Unconditioned","mice","Swiss","No",5.85,NA,7,2.41,12.2,NA,7,2.21,"Male","13","CBDanimalunconditioned",NA
"Campos_2013_67_20","Campos",2013,14,67,20,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",1,"NSF",NA,"Unconditioned","mice","WT-C57BL/6J","No",105,22.86666667,12,79.2124569443637,121.3333333,11.2,14,41.9065627318681,"Male","14","CBDanimalunconditioned",NA
"Campos_2013_68_20","Campos",2013,14,68,20,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",1,"NSF",NA,"Unconditioned","mice","WT-C57BL/6J","Yes",85.86666667,17.73333333,4,35.46666666,221.2,24.26666667,5,54.2619162614485,"Male","14","CBDanimalunconditioned",NA
"Campos_2013_69_20","Campos",2013,14,69,20,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",-1,"AA",NA,"Unconditioned","mice","WT-C57BL/6J","Yes",27.4151436,1.187989556,3,2.05765826985319,13.52480418,1.919060052,4,3.838120104,"Male","14","CBDanimalunconditioned",NA
"Campos_2012_70_21","Campos",2012,15,70,21,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"MD","delay",-1,"AA",NA,"Unconditioned","rats","Wistar","No",17.54807692,2.740384615,12,9.49297077092015,11.00961538,2.403846154,9,7.211538462,"Male","15","CBDanimalunconditioned",NA
"Campos_2012_71_22","Campos",2012,15,71,22,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"MD","delay",-1,"AA",NA,"Unconditioned","rats","Wistar","Yes",25.19230769,4.134615385,10,13.074801865374,3.221153846,2.5,14,9.35414346693485,"Male","15","CBDanimalunconditioned",NA
"Campos_2012_72_21","Campos",2012,15,72,21,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"MD","delay",-1,"AA",NA,"Unconditioned","rats","Wistar","No",19.19191919,4.92424243,7,13.0283208651724,13.82575758,3.28282828,6,8.04125419917854,"Male","15","CBDanimalunconditioned",NA
"Campos_2012_73_22","Campos",2012,15,73,22,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"MD","delay",-1,"AA",NA,"Unconditioned","rats","Wistar","Yes",22.85353535,3.53535354,8,9.99948984810347,2.20959596,1.957070707,7,5.17792238889136,"Male","15","CBDanimalunconditioned",NA
"Cheng_2014_74_23","Cheng",2014,16,74,23,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",-1,"AA",NA,"Unconditioned","mice","Wild-type like","No",15.5,4,11,13.2664991614216,15.5,3.5,11,11.6081867662439,"Male","16","CBDanimalunconditioned",NA
"Cheng_2014_75_24","Cheng",2014,17,75,24,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",-1,"AA",NA,"Unconditioned","mice","Wild-type like","No",11.6,2.1,10,6.6407830863536,13.3,4,8,11.3137084989848,"Male","17","CBDanimalunconditioned",NA
"Coles_2020_76_25","Coles",2020,18,76,25,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"MD","delay",-1,"AA",NA,"Unconditioned","mice","Wild-type like","No",290.4,8.4,13,30.2866307138975,294.1,17.8,15,68.939103562492,"Female","18","CBDanimalunconditioned",NA
"Coles_2020_77_25","Coles",2020,18,77,25,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"MD","delay",1,"ASR",NA,"Unconditioned","mice","Wild-type like","No",259.661538461538,19.3422532643232,13,69.739485927528,222.72,22.5924960150594,15,87.5003608155825,"Female","18","CBDanimalunconditioned",NA
"Florensa-Zanuy_2021_78_26","Florensa-Zanuy",2021,19,78,26,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"SD","acute",-1,"AA",NA,"Unconditioned","mice","NMRI","No",23.27922078,3.165584416,7.5,8.66930996165009,18.6525974,4.87012987,7.5,13.3373999388935,"Male","19","CBDanimalunconditioned",NA
"Fogaça_2018_79_27","Fogaça",2018,20,79,27,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",-1,"AA",NA,"Unconditioned","mice","C57BL/6","No",15.60344828,3.103448276,10.5,10.0563217738385,20.34482759,2.931034483,10.5,9.49763723120747,"Male","20","CBDanimalunconditioned",NA
"Fogaça_2018_80_28","Fogaça",2018,20,80,28,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",-1,"AA",NA,"Unconditioned","mice","C57BL/6","Yes",21.20689655,3.448275862,10.5,11.1736908591004,8.620689655,2.068965517,10.5,6.70421451481218,"Male","20","CBDanimalunconditioned",NA
"Fogaça_2018_81_27","Fogaça",2018,20,81,27,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",1,"NSF",NA,"Unconditioned","mice","C57BL/6","No",435.6687898,43.94904459,10.5,142.411180965277,342.0382166,28.66242038,10.5,92.8768571357705,"Male","20","CBDanimalunconditioned",NA
"Fogaça_2018_82_28","Fogaça",2018,20,82,28,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",1,"NSF",NA,"Unconditioned","mice","C57BL/6","Yes",235.0318471,24.84076433,10.5,80.4932761864946,445.2229299,32.48407643,10.5,105.260438085046,"Male","20","CBDanimalunconditioned",NA
"Fogaça_2018_83_29","Fogaça",2018,20,83,29,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",-1,"AA",NA,"Unconditioned","mice","C57BL/6","Yes",26.62889518,3.399433428,10.5,11.0154232841839,17.22379603,1.699716714,10.5,5.50771164209194,"Male","20","CBDanimalunconditioned",NA
"Fogaça_2018_84_30","Fogaça",2018,20,84,30,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",-1,"AA",NA,"Unconditioned","mice","C57BL/6","Yes",25.0928382,3.872679045,10.5,12.5489143494014,16.97612732,3.713527851,10.5,12.0332055393234,"Male","20","CBDanimalunconditioned",NA
"Fogaça_2018_85_29","Fogaça",2018,20,85,29,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",1,"NSF",NA,"Unconditioned","mice","C57BL/6","Yes",174.0740741,24.07407407,10.5,78.0089158009672,355.5555556,57.40740741,10.5,186.021260796034,"Male","20","CBDanimalunconditioned",NA
"Fogaça_2018_86_30","Fogaça",2018,20,86,30,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","30 mg/kg",30,"mg/kg",2.43,5.9049,"MD","delay",1,"NSF",NA,"Unconditioned","mice","C57BL/6","Yes",378.1350482,34.7266881,10.5,112.527330445293,520.9003215,27.0096463,10.5,87.5212570130056,"Male","20","CBDanimalunconditioned",NA
"Gáll_2020_87_31","Gáll",2020,21,87,31,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",15.7206725,NA,8,4.63556402051959,16.8998375,NA,8,3.95502252546863,"Male","21","CBDanimalunconditioned",NA
"Gáll_2020_88_31","Gáll",2020,21,88,31,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"MD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","Yes",5.1457825,NA,8,3.51947960521662,6.423268,NA,10,6.3123953376068,"Male","21","CBDanimalunconditioned",NA
"Gáll_2020_89_31","Gáll",2020,21,89,31,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",22.51,7.72,8,21.8354574030406,17.12,4.82,8,13.6330187412766,"Male","21","CBDanimalunconditioned",NA
"Gáll_2020_90_31","Gáll",2020,21,90,31,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"MD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","Yes",27.27,5.963,8,16.8659109448615,26.42,6.616,8,18.7128738573208,"Male","21","CBDanimalunconditioned",NA
"Guimarães_1990_91_32","Guimarães",1990,22,91,32,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","2.5 mg/kg",2.5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",2.808988764,0.292134831,10,0.923811449828365,1.539325843,0.213483146,10,0.675092983418265,"Male","22","CBDanimalunconditioned",NA
"Guimarães_1990_92_32","Guimarães",1990,22,92,32,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",3.921348315,0.382022472,10,1.2080611288879,1.539325843,0.213483146,10,0.675092983418265,"Male","22","CBDanimalunconditioned",NA
"Guimarães_1990_93_32","Guimarães",1990,22,93,32,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",3.247191011,0.483146067,10,1.52784201427232,1.539325843,0.213483146,10,0.675092983418265,"Male","22","CBDanimalunconditioned",NA
"Guimarães_1990_94_32","Guimarães",1990,22,94,32,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",3.24,10.4976,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",2.247191011,0.415730337,10,1.31465475734937,1.539325843,0.213483146,10,0.675092983418265,"Male","22","CBDanimalunconditioned",NA
"Guimarães_1994_95_33","Guimarães",1994,23,95,33,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","rats","Wistar","No",32.85171103,4.055766793,5,9.06897025003432,16.02027883,2.737642586,22,12.8406819301382,"Male","23","CBDanimalunconditioned",NA
"Kajero_2020_96_34","Kajero",2020,24,96,34,"p.o.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.81,0.6561,"MD","delay",-1,"AA",NA,"Unconditioned","rats","Wistar","No",40.42857,NA,7,43.1233,32.85714,NA,7,21.04304,"Male","24","CBDanimalunconditioned",NA
"Kasten_2019_97_35","Kasten",2019,25,97,35,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",50.9302325581395,10.1162790697674,8,28.6131581224323,72.5581395348837,7.32558139534881,8,20.7198731231406,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_98_35","Kasten",2019,25,98,35,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",64.5348837209302,9.06976744186041,8,25.6531762476978,72.5581395348837,7.32558139534881,8,20.7198731231406,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_99_35","Kasten",2019,25,99,35,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",56.5116279069767,12.906976744186,8,36.5064431217239,72.5581395348837,7.32558139534881,8,20.7198731231406,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_100_36","Kasten",2019,25,100,36,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",76.6288492706645,12.836304700162,8,36.3065523954452,72.739059967585,11.2803889789303,8,31.9057581656944,"Female","25","CBDanimalunconditioned",NA
"Kasten_2019_101_36","Kasten",2019,25,101,36,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",90.2431118314424,7.39059967585089,8,20.9037725913171,72.739059967585,11.2803889789303,8,31.9057581656944,"Female","25","CBDanimalunconditioned",NA
"Kasten_2019_102_36","Kasten",2019,25,102,36,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",84.0194489465153,9.72447325769861,8,27.5049639359437,72.739059967585,11.2803889789303,8,31.9057581656944,"Female","25","CBDanimalunconditioned",NA
"Kasten_2019_103_37","Kasten",2019,25,103,37,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",62.2073578595317,10.0334448160535,8.5,29.2522670309965,52.9765886287625,7.2240802675585,8.5,21.0616322623174,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_104_38","Kasten",2019,25,104,38,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",54.4370860927152,6.7549668874172,8.5,19.6939434859013,53.6423841059602,6.3576158940398,8.5,18.535476222025,"Female","25","CBDanimalunconditioned",NA
"Kasten_2019_105_37","Kasten",2019,25,105,37,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",24.1638225255972,5.7337883959045,9.5,17.6727227388874,15.9726962457338,4.5051194539249,9.5,13.8857107234113,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_106_38","Kasten",2019,25,106,38,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"MD","delay",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",14.4827586206896,3.7241379310345,9.5,11.4785640055285,29.3793103448275,2.896551724138,9.5,8.92777200430012,"Female","25","CBDanimalunconditioned",NA
"Kasten_2019_107_35","Kasten",2019,25,107,35,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",31.5525876460767,4.3405676126879,8,12.2769791725213,20.2003338898163,2.3372287145242,8,6.61068109289592,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_108_35","Kasten",2019,25,108,35,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",24.5409015025041,3.338898163606,8,9.44383013270845,20.2003338898163,2.3372287145242,8,6.61068109289592,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_109_35","Kasten",2019,25,109,35,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","20 mg/kg",20,"mg/kg",1.62,2.6244,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",27.5459098497495,5.3422370617697,8,15.1101282123338,20.2003338898163,2.3372287145242,8,6.61068109289592,"Male","25","CBDanimalunconditioned",NA
"Kasten_2019_110_36","Kasten",2019,25,110,36,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","5 mg/kg",5,"mg/kg",0.405,0.164025,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",25.2525252525252,2.6936026936027,8,7.61865892187528,29.6296296296296,3.3670033670034,8,9.52332365234416,"Female","25","CBDanimalunconditioned",NA
"Kasten_2019_111_36","Kasten",2019,25,111,36,"i.p.","Cannabidiol","Reuptake/hydrolysis inhibitor","10 mg/kg",10,"mg/kg",0.81,0.6561,"SD","acute",-1,"AA",NA,"Unconditioned","mice","C57BL/6J(B6)","No",24.5791245791245,3.3670033670034,8,9.52332365234416,29.6296296296296,3.3670033670034,8,9.52332365234416,"Female","25","CBDanimalunconditioned",NA
